"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Comments,Saves,Follows
18355151116178767,17841446494080465,oigetit_sa,"Oigetit - South Africa","Cape Town has become the latest city to be flooded with anti-tourism sentiment, after fuming local activists condemned the influx of selfie-taking digital nomads.

The South African capital has seen a massive surge of remote workers from wealthy countries who regularly move across the world to soak up the sun and embed themselves into different cultures.

This article was fact checked by Oigetit. Read more at Linkin.bio https://linkin.bio/oigetit_southafica/

#oigetit #oigetitfakenewsfilter #capetown #tourism",30,"03/18/2025 09:48",https://www.instagram.com/reel/DHWRIh_CLiR/,"IG reel",,Lifetime,52,37,3,0,0,0,
18068710030723886,17841446494080465,oigetit_sa,"Oigetit - South Africa","This article was fact checked by Oigetit. Read more at Linkin.bio https://linkin.bio/oigetit_southafica/

#oigetit #oigetitfakenewsfilter #tyla #annawintour #parisfashionweek",16,"03/18/2025 09:50",https://www.instagram.com/reel/DHWRZRni6kJ/,"IG reel",,Lifetime,166,152,1,0,0,0,
18080349922642130,17841446494080465,oigetit_sa,"Oigetit - South Africa","The State Department says South Africa’s ambassador to the United States, who was declared “persona non grata” last week, has until Friday to leave the country.

This article was fact checked by Oigetit. Read more at Linkin.bio https://linkin.bio/oigetit_southafica/

#oigetit #oigetitfakenewsfilter #unitedstatesofamerica #southafrica",0,"03/19/2025 01:03",https://www.instagram.com/p/DHX59q4MjC_/,"IG image",,Lifetime,72,56,4,0,0,0,
18088161514523950,17841446494080465,oigetit_sa,"Oigetit - South Africa","The Johannesburg high court on Monday granted former Eskom contractor Michael Lomas bail of R2m with stringent conditions.

This article was fact checked by Oigetit. Read more at Linkin.bio https://linkin.bio/oigetit_southafica/

#oigetit #oigetitfakenewsfilter #eskom",0,"03/19/2025 06:02",https://www.instagram.com/p/DHYcKfWsgkM/,"IG image",,Lifetime,56,48,3,0,0,0,
18036826859537121,17841446494080465,oigetit_sa,"Oigetit - South Africa","South African pop sensation Tyla has once again made her nation proud by clinching the coveted World Artist of the Year award at the 2025 iHeartRadio Music Awards.

This article was fact checked by Oigetit. Read more at Linkin.bio https://linkin.bio/oigetit_southafica/

#oigetit #oigetitfakenewsfilter #tyla #iheartradio #musicawards",11,"03/19/2025 08:25",https://www.instagram.com/reel/DHYsac2iOcQ/,"IG reel",,Lifetime,129,111,2,0,0,0,
17876412222293395,17841446494080465,oigetit_sa,"Oigetit - South Africa","In a move that has left the fashion world buzzing, Grammy-winning South African musician Tyla Seethal has joined forces with @hm for their Spring 2025 campaign.

This article was fact checked by Oigetit. Read more at Linkin.bio https://linkin.bio/oigetit_southafica/

#oigetit #oigetitfakenewsfilter #tyla #hm #grammywinner",11,"03/19/2025 08:30",https://www.instagram.com/reel/DHYst5NioUu/,"IG reel",,Lifetime,130,115,1,0,0,0,
17942915390987208,17841446494080465,oigetit_sa,"Oigetit - South Africa","Professor Thumbi Ndung’u from the University of KwaZulu-Natal and Africa Health Research Institute, led a study that explored an innovative an HIV cure through an approach known as combination immunotherapy.

This article was fact checked by Oigetit. Read more at Linkin.bio https://linkin.bio/oigetit_southafica/

#oigetit #oigetitfakenewsfilter #hiv #hivcure",0,"03/19/2025 09:43",https://www.instagram.com/p/DHY1bWusjLd/,"IG image",,Lifetime,126,90,8,0,0,0,2
18078067636672402,17841446494080465,oigetit_sa,"Oigetit - South Africa","South African pop sensation Tyla has once again made her nation proud by clinching the coveted World Artist of the Year award at the 2025 iHeartRadio Music Awards.

This article was fact checked by Oigetit. Read more at Linkin.bio https://linkin.bio/oigetit_southafica/

#oigetit #oigetitfakenewsfilter #tyla #iheartawards",11,"03/20/2025 01:03",https://www.instagram.com/reel/DHaeng4MmWk/,"IG reel",,Lifetime,132,100,2,0,0,0,
17934946070892387,17841446494080465,oigetit_sa,"Oigetit - South Africa","A war cry from Curro Durbanville has racked up an incredible 35 million+ views, captured hearts worldwide – and even caught the attention of Hollywood actress Jennifer Garner.

This article was fact checked by Oigetit. Read more at Linkin.bio https://linkin.bio/oigetit_southafica/

#oigetit #oigetitfakenewsfilter #jeniffergarner #southafrica #schools",180,"03/20/2025 05:51",https://www.instagram.com/reel/DHa_VYcsey3/,"IG reel",,Lifetime,413,330,20,2,0,1,
17883727563249953,17841446494080465,oigetit_sa,"Oigetit - South Africa","Global music sensation Burna Boy has added another milestone to his ever-evolving career, stepping onto the runway for Off-White at Paris Fashion Week. Walking in the “State of Resistance” collection, curated by Ibrahim Kamara, Burna Boy showcased his seamless transition from music icon to fashion trailblazer. 

This article was fact checked by Oigetit. Read more at Linkin.bio https://linkin.bio/oigetit_southafica/

#oigetit #oigetitfakenewsfilter #burnaboy #parisfashionweek #offwhite",0,"03/20/2025 09:28",https://www.instagram.com/p/DHbYjMIM3YB/,"IG image",,Lifetime,51,43,3,0,0,0,
